HospitalID,categoryGER,categoryAUT,Department,beds,doctorsgeneral,doctorsspecial,nurses,numberofstays,averagestayduration,address
104,NaN,,"All",141,NaN,NaN,NaN,NaN,NaN,"Grazer Straße 13, 7540 Güssing"
104,930,AN,"Anästesie und Intensivmedizin",6,12,11,21,414,3.2,"Grazer Straße 13, 7540 Güssing"
104,169,CH,"Chirurgische Abteilung",41,11,7,24,1772,4.9,"Grazer Straße 13, 7540 Güssing"
104,339,IM,"Interne Abteilung",43,12,8,32,2741,4.4,"Grazer Straße 13, 7540 Güssing"
104,699,OR,"Orthopädie und orthopädische Chirurgie",25,8,5,12,1082,5.4,"Grazer Straße 13, 7540 Güssing"
104,120,TK AU,"Tagesklinik (Augenheilkunde)",3,2,2,1,490,1,"Grazer Straße 13, 7540 Güssing"
104,930,TK GEM,"Tagesklinik (Interdisziplinärer Bereich)",24,NaN,NaN,8,3477,1,"Grazer Straße 13, 7540 Güssing"
206,NaN,,"All",159,NaN,NaN,NaN,NaN,NaN,"Völkermarkter Straße 15-19, 9020 Klagenfurt"
206,930,AN,"Abteilung für Anästhesiologie und Intensivmedizin",4,8,8,18,330,3.5,"Völkermarkter Straße 15-19, 9020 Klagenfurt"
206,169,CH,"Abteilung für Chirurgie",10,7,5,12,1500,1.8,"Völkermarkter Straße 15-19, 9020 Klagenfurt"
206,339,IM,"Abteilung für Innere Medizin",83,18,10,41,4290,5.7,"Völkermarkter Straße 15-19, 9020 Klagenfurt"
206,699,OR,"Abteilung für Orthopädie und orthopädische Chirurgie",36,12,5,20,1900,5.8,"Völkermarkter Straße 15-19, 9020 Klagenfurt"
206,340,AG/R,"Department für Akutgeriatrie und Remobilisation",25,2,2,11,540,15.37,"Völkermarkter Straße 15-19, 9020 Klagenfurt"
201,NaN,,"All",167,NaN,NaN,NaN,NaN,NaN,"St. Veiter Straße 12, 9360 Friesach, Kärnten"
201,169,CH,"Abteilung für Allgemeinchirurgie",30,13,7,25,2676,3.23,"St. Veiter Straße 12, 9360 Friesach, Kärnten"
201,930,AN,"Abteilung für Anästhesiologie und Intensivmedizin",6,11,8,32,508,3.14,"St. Veiter Straße 12, 9360 Friesach, Kärnten"
201,166,UC,"Abteilung für Unfallchirurgie",35,13,8,24,2180,4.07,"St. Veiter Straße 12, 9360 Friesach, Kärnten"
201,339,IM,"Interne Abteilung",96,15,8,64,4213,4.28,"St. Veiter Straße 12, 9360 Friesach, Kärnten"
215,NaN,,"All",236,NaN,NaN,NaN,NaN,NaN,"Billrothstraße 1, 9800 Spittal an der Drau"
215,930,AN,"Anästhesie und Intensivmedizin",7,9,8,36,346,3.31,"Billrothstraße 1, 9800 Spittal an der Drau"
215,169,CH,"Chirurgie",40,13,7,18,2426,3.57,"Billrothstraße 1, 9800 Spittal an der Drau"
215,199,GGH,"Geburtshilfe und Gynäkologie",25,12,10,14,2128,315,"Billrothstraße 1, 9800 Spittal an der Drau"
215,339,IM,"Innere Medizin",124,21,9,61,7604,4.65,"Billrothstraße 1, 9800 Spittal an der Drau"
