KA-Nr;Bundesland;Bezirk;Versorgungszone;Versorgungsregion;Bezeichnung;Öffentlichkeitsrecht;Gemeinnützigkeit;Fondszugehörigkeit;Adresse;Telefon, Fax;Homepage;Ärztlicher Leiter;Pflegedienstleiter;Verwaltungsdirektor;Bettenanzahl;Bettenführende Fachrichtungen;Intensivbereiche;Großgeräte;Träger-Nr.;Träger Bezeichnung;Träger-Adresse;Träger Telefon, Fax;Träger Homepage
K101;Burgenland;Oberwart;Süd;Burgenland-Süd;Rehabilitationszentrum für Herz-Kreislauferkrankungen Bad Tatzmannsdorf;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Vogelsangweg 11, 7431 Bad Tatzmannsdorf;03353/6000-0, 03353/6000-43510;http://www.ska-badtatzmannsdorf.at;Prim. Prof. Dr. Herbert Laimer;PDL Ingeborg Hutter;Dipl. KHBW Wolfgang Sandor;166;Rehabilitationszentrum (Interne);;ECT;T090;Pensionsversicherungsanstalt Wien;Friedrich-Hillegeist-Straße 1, 1021 Wien Postfach;01/050303, 01/050303-288 50;http://www.pensionsversicherung.at
K102;Burgenland;Eisenstadt(Stadt);Ost;Burgenland-Nord;Krankenhaus der Barmherzigen Brüder Eisenstadt;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Esterhazystraße 26, 7000 Eisenstadt;02682/601-0, 02682/601-1099;http://www.barmherzige-brueder.at;Prim. Dr. Mathias Resinger;MAS Irene Zach;MBA MSc Robert Maurer;384;AN, CH, GGH, HNO, IM, KI, OR, PSY, UC;AN, IM, KI;COR, CT, ECT, MR;T180;Konvent der Barmherzigen Brüder Eisenstadt;Esterhazystraße 26, 7000 Eisenstadt;02682/601-0, 02682/601-1099;http://www.barmherzige-brueder.at
K104;Burgenland;Güssing;Süd;Burgenland-Süd;Landeskrankenhaus Güssing;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Grazer Straße 13, 7540 Güssing;05 7979-31000, 05 7979-319;http://www.krages.at;Prim. Dr.  Andreas Resetarits;DGKS Bianca Hofbauer;Reinhold Hallemann;140;AN, AU, CH, GEM, GGH, IM, OR;AN, IM;CT;T101;Burgenländische Krankenanstaltengesellschaft mbH;Hyrtlplatz 4, 7000 Eisenstadt;05 7979-30000, 05 7979-3506;http://www.krages.at
K105;Burgenland;Neusiedl am See;Ost;Burgenland-Nord;Ladislaus Batthyany-Strattmann Krankenhaus Kittsee;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Hauptplatz 3, 2421 Kittsee;05 7979-35000, 05 7979-35010;http://www.krages.at;Prim. Dr. Luc Bastian;DGKS Elisabeth Wieszmüllner;DGKS Elisabeth Wieszmüllner;120;AN, CH, GEM, IM, URO;AN;CT;T101;Burgenländische Krankenanstaltengesellschaft mbH;Hyrtlplatz 4, 7000 Eisenstadt;05 7979-30000, 05 7979-3506;http://www.krages.at
K106;Burgenland;Oberpullendorf;Ost;Burgenland-Nord;Landeskrankenhaus Oberpullendorf;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Spitalstraße 32, 7350 Oberpullendorf;05 7979-34000, 05 7979-34901;http://www.krages.at;Prim. Dr. Andreas Resetarits;DGKS Bettina Schmidt;KD Ingmar Falb;147;AN, AU, CH, GEM, GGH, IM;AN, IM;CT;T101;Burgenländische Krankenanstaltengesellschaft mbH;Hyrtlplatz 4, 7000 Eisenstadt;05 7979-30000, 05 7979-3506;http://www.krages.at
K107;Burgenland;Oberwart;Süd;Burgenland-Süd;Landeskrankenhaus Oberwart;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Dornburggasse 80, 7400 Oberwart;05 7979-32000, 05 7979-32103;http://www.krages.at;Prim. Dr. Andreas Resetarits;DGKP Wolfgang Hofmann;Ing Johann Nestlang;347;AN, CH, GEM, GGH, HNO, IM, KI, NEU, UC, URO,;AN, IM, KI;CT, MR;T101;Burgenländische Krankenanstaltengesellschaft mbH;Hyrtlplatz 4, 7000 Eisenstadt;05 7979-30000, 05 7979-3506;http://www.krages.at
K109;Burgenland;Neusiedl am See;Ost;Burgenland-Nord;Sonderkrankenanstalt Zicksee;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Otto-Pohanka-Platz, 7161 Sankt Andrä am Zicksee;02176/2325, 02176/2325-130;http://www.kobvskazicksee.at;Priv. Doz. Dr. Stephan Domayer;Melitta Hauzinger;Josef Nyikos;135;OR;;;T082;Kriegsopferverband für Wien, Niederösterreich und Burgenland;Lange Gasse 53, 1080 Wien;01/406 15 86-0, 01/406 15 86-130;http://www.kobv.at
K111;Burgenland;Rust(Stadt);Ost;Burgenland-Nord;Heilpädagogisches Zentrum Rust;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Baumgartenstraße 15a, 7071 Rust, Burgenland;05 7979/21000, 05 7979/2121;http://www.psd-bgld.at;Prim. Dr. Andrea Engel;;Mag.Dr. Eveline Ernst;12;KI;;;T102;Psychosozialer Dient Burgenland Gesellschaft mbH;Josef-Hyrtl-Platz 4, 7000 Eisenstadt;;
K112;Burgenland;Oberwart;Süd;Burgenland-Süd;Therapiezentrum Rosalienhof -  Bad Tatzmannsdorf;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Am Kurpark 1, 7431 Bad Tatzmannsdorf;03353/8387-0, 03353/8387-2060;http://www.bva.at;OA Dr Bruno Mähr;DGKS Renate Röhrling;Friedrich Weber;69;Rehabilitationszentrum (Interne);;;T093;Versicherungsanstalt öffentlich Bediensteter;Josefstädterstraße 80, 1081 Wien Postfach;01/050405-0, 01/050405-21009;http://www.bva.at
K113;Burgenland;Mattersburg;Ost;Burgenland-Nord;Sonderkrankenanstalt  'Onkologische Rehabilitation - Der Sonnberghof';ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Hartiggasse 4, 7202 Bad Sauerbrunn;02625/300, 02625/300-8520;http://www.dersonnberghof.at;Dr. Marco Hassler;Mag. Gabriele Klampfer-heider;Dir. Bernhard Schuster;121;Rehabilitationszentrum (Interne);;;T103;Heilbad Sauerbrunn Betriebsgesellschaft mbH;Hartiggasse 4, 7202 Bad Sauerbrunn;;
